
rikimaru:'시카짱?', msgID:763843083380195339
동쓰:'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', msgID:763843584410910751
Jesyka:'시카 앞으로 대답 잘해', msgID:763844805825790003
rikimaru:'음 호스팅을 찾아야할텐데', msgID:763846301774774332
bananapok:'3시간30분뒤에 열리는 서버...', msgID:763846470675595314
bananapok:'빨리 하고싶다 갓-겜', msgID:763846513075159080
동쓰:'무슨겜이죠..??', msgID:763846561318436915
rikimaru:'오늘 듀오였나요?', msgID:763846631102742558
bananapok:'', msgID:763846668445286461
bananapok:'네 오늘 듀오/솔로', msgID:763846685889396737
bananapok:'', msgID:763846849487831050
동쓰:'오우', msgID:763847143370260501
rikimaru:'와 한국은 다해주는데 ㅅㅂ...', msgID:763847807437766726
bananapok:'북미는 유저수가 적어서그런가..', msgID:763864038069239809
Jesyka:'http://naver.me/GZMSfFx9', msgID:763883366180323388
